기준일,기준가격,광물종합지수,메이저금속지수,환율,시장전망지표,무역수지,수출 중량,수출 금액,수입 중량,수입 금액,수급안정화지수
2021-06-09,18088,2407.510943,2494.113774,1116.890015,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-10,17783,2436.458355,2523.494802,1116.410034,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-11,18303,2452.915918,2519.403176,1111.26001,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-14,18276,2498.367968,2567.594194,1115.550049,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-15,17909,2496.551463,2564.669309,1116.319946,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-16,17483,2466.150328,2519.217035,1116.030029,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-17,17287,2465.56547,2507.49053,1131.949951,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-18,17320,2460.78941,2487.109064,1133.540039,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-21,17310,2453.776789,2458.007353,1134.25,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-22,17701,2421.023478,2414.755282,1130.339966,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-23,17867,2429.371251,2417.7612,1132.51001,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-24,18192,2459.435097,2444.398586,1132.609985,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-25,18611,2489.125328,2468.553878,1130.800049,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-28,18358,2513.630383,2491.645297,1125.339966,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-29,18213,2493.107224,2492.771949,1129.040039,12.57,-26962,0,0,311072.1,26962,12.08
2021-06-30,18450,2502.320961,2507.107383,1130.51001,12.57,-26962,0,0,311072.1,26962,12.08
2021-07-01,18082,2494.018102,2514.09735,1129.599976,11.75,-31012,35.1,15,292084,31027,11.3
2021-07-02,18141,2493.491316,2498.480242,1132.410034,11.75,-31012,35.1,15,292084,31027,11.3
2021-07-05,18370,2502.960118,2503.772919,1129.77002,11.75,-31012,35.1,15,292084,31027,11.3
2021-07-06,18541,2544.846667,2543.481563,1129.439941,11.75,-31012,35.1,15,292084,31027,11.3
2021-07-07,18309,2541.783908,2565.22469,1135.47998,11.75,-31012,35.1,15,292084,31027,11.3
2021-07-08,18180,2520.210657,2546.717262,1140.52002,11.75,-31012,35.1,15,292084,31027,11.3
