기준일,기준가격,광물종합지수,메이저금속지수,희유금속지수,에너지광물지수,Close,시장전망지표,수급안정화지수,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
2021-06-09,42500.0,2407.51,2494.11,1682.47,2193.115993,1116.8900146484375,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-10,42500.0,2436.46,2523.49,1682.47,2227.469874,1116.4100341796875,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-11,42500.0,2452.92,2519.4,1682.47,2284.482995,1111.260009765625,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-14,42500.0,2498.37,2567.59,1741.94,2315.536776,1115.550048828125,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-15,42500.0,2496.55,2564.67,1741.94,2315.536776,1116.3199462890625,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-16,42500.0,2466.15,2519.22,1741.94,2306.966766,1116.030029296875,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-17,44000.0,2465.57,2507.49,1741.94,2327.100894,1131.949951171875,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-18,44505.0,2460.79,2487.11,1741.94,2350.93189,1133.5400390625,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-21,44485.0,2453.78,2458.01,1805.05,2365.439305,1134.25,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-22,45500.0,2421.02,2414.76,1805.05,2346.259106,1130.3399658203125,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-23,45495.0,2429.37,2417.76,1805.05,2366.351091,1132.510009765625,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-24,45495.0,2459.44,2444.4,1805.05,2409.583868,1132.6099853515625,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-25,45495.0,2489.13,2468.55,1805.05,2456.687567,1130.800048828125,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-28,45480.0,2513.63,2491.65,1805.42,2487.719341,1125.3399658203125,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-29,48500.0,2493.11,2492.77,1805.42,2418.852523,1129.0400390625,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-06-30,48500.0,2502.32,2507.11,1805.42,2419.919773,1130.510009765625,36.33,35.27,20.0,673.0,1060.9,12549.0,-11876.0
2021-07-01,50500.0,2494.02,2514.1,1805.42,2375.352105,1129.5999755859375,41.86,40.64,262.7,2825.0,747.3,6501.0,-3676.0
2021-07-02,50500.0,2493.49,2498.48,1805.42,2407.809197,1132.4100341796875,41.86,40.64,262.7,2825.0,747.3,6501.0,-3676.0
2021-07-05,50485.0,2502.96,2503.77,1807.76,2428.008622,1129.77001953125,41.86,40.64,262.7,2825.0,747.3,6501.0,-3676.0
2021-07-06,50480.0,2544.85,2543.48,1807.76,2484.841746,1129.43994140625,41.86,40.64,262.7,2825.0,747.3,6501.0,-3676.0
2021-07-07,50475.0,2541.78,2565.22,1807.76,2424.752331,1135.47998046875,41.86,40.64,262.7,2825.0,747.3,6501.0,-3676.0
2021-07-08,50470.0,2520.21,2546.72,1807.76,2391.300283,1140.52001953125,41.86,40.64,262.7,2825.0,747.3,6501.0,-3676.0
