기준일,기준가격,광물종합지수,희유금속지수,환율,시장전망지표,수산화리튬 수출 중량,수산화리튬 수입 중량,탄산리튬 수출 중량,탄산리튬 수입 중량,수산화리튬_무역수지,탄산리튬_무역수지,수급안정화지수
2021-06-09,81,2407.510943,1682.471447,174.5277027,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-10,81,2436.458355,1682.471447,174.8078063,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-11,81,2452.915918,1682.471447,173.8435285,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-15,81,2496.551463,1741.940418,174.501333,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-16,81,2466.150328,1741.940418,174.2435586,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-17,81,2465.56547,1741.940418,176.9584267,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-18,81,2460.78941,1741.940418,175.8135097,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-21,81,2453.776789,1805.045038,175.7954829,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-22,81,2421.023478,1805.045038,174.8155671,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-23,80,2429.371251,1805.045038,174.7619738,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-24,80,2459.435097,1805.045038,174.9745059,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-25,80,2489.125328,1805.045038,174.7488819,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-28,80,2513.630383,1805.416815,174.5714535,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-29,80,2493.107224,1805.416815,174.9066674,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-06-30,80,2502.320961,1805.416815,174.9176119,35.06,74.7,5111.1,123.5,4972.3,-59756,-47671,32.46
2021-07-01,80,2494.018102,1805.416815,174.9635938,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-02,80,2493.491316,1805.416815,175.0896866,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-05,80,2502.960118,1807.761399,174.5600435,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-06,80,2544.846667,1807.761399,174.7601561,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-07,80,2541.783908,1807.761399,175.2797906,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-08,80,2520.210657,1807.761399,176.2373536,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-09,80,2498.536723,1807.761399,176.6469977,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-12,80,2483.036305,1831.065083,176.6455742,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-13,80,2481.488963,1831.065083,176.2425484,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-14,80,2514.98717,1831.065083,177.6111193,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-15,80,2538.227519,1831.065083,176.7713399,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-16,80,2547.131936,1831.065083,176.4864266,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-19,80,2578.960621,1830.129722,176.2063547,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-20,80,2558.310606,1830.129722,177.2228499,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-21,80,2547.505947,1830.129722,176.97373,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-22,80,2548.877636,1830.129722,177.6233091,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-23,80,2533.774224,1830.129722,177.7377713,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-26,82,2545.530409,1838.858226,177.6310073,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-27,82,2572.042436,1838.858226,177.6941265,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-28,83,2577.70537,1838.858226,177.2063367,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-29,84,2587.23806,1838.858226,177.1211591,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-07-30,85,2604.019229,1838.858226,176.9274892,43.64,42,2943,749,3598.9,-34338,-28542,40.41
2021-08-02,85,2610.779956,1914.577449,178.1487649,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-03,87,2609.217786,1914.577449,177.9229322,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-04,87,2591.609331,1914.577449,177.5458994,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-05,87,2593.787883,1914.577449,176.9566398,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-06,87,2579.166163,1914.577449,176.9453432,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-09,89,2608.60048,1962.704311,176.6170506,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-10,91,2600.334859,1962.704311,176.69309,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-11,92,2583.193494,1962.704311,177.7174638,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-12,93,2588.317173,1962.704311,177.9583809,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-13,94,2607.986668,1962.704311,179.3773122,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-16,96,2611.001738,2041.301641,179.3249372,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-17,98,2623.611668,2041.301641,179.8844563,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-18,100,2601.482515,2041.301641,181.4081493,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-19,100,2577.312,2041.301641,180.4170842,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-20,100,2483.061895,2041.301641,181.0046676,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-23,102,2510.761269,2099.661603,180.8860656,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-24,104,2538.973392,2099.661603,180.1867256,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-25,106,2596.592887,2099.661603,179.828119,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-26,107,2620.763682,2099.661603,179.6676393,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-27,108,2629.343996,2099.661603,180.5416187,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-30,110,2660.725415,2154.227103,179.4723944,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-08-31,112,2662.61886,2154.227103,180.2771873,43.92,393.2,5194.3,344.1,2775.5,-61457,-20514,40.67
2021-09-01,115,2676.096434,2154.227103,179.3315436,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
2021-09-02,118,2641.074184,2154.227103,178.8636026,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
2021-09-03,120,2658.014736,2154.227103,179.2499313,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
2021-09-06,122,2684.488698,2218.062364,178.9782853,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
2021-09-07,125,2668.408453,2218.062364,178.9675943,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
2021-09-08,128,2680.220681,2218.062364,179.5684822,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
2021-09-09,131,2672.456711,2218.062364,180.5516405,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
2021-09-10,134,2687.380082,2218.062364,181.1397081,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
2021-09-13,137,2733.659123,2316.027118,181.4849337,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
2021-09-14,139,2727.331208,2316.027118,181.544924,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
2021-09-15,142,2678.343643,2316.027118,181.8492498,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
2021-09-16,145,2670.8981,2316.027118,181.1767271,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
2021-09-17,148,2627.354807,2316.027118,181.894497,32.16,1.9,4579.7,218.9,3025.3,-57217,-25123,29.78
