기준일,메이저금속지수
2012-01-03,1740.076539
2012-01-04,1757.363025
2012-01-05,1771.828769
2012-01-06,1751.261922
2012-01-09,1758.12797
2012-01-10,1768.753857
2012-01-11,1807.420958
2012-01-12,1808.130924
2012-01-13,1838.357745
2012-01-16,1826.977618
2012-01-17,1828.442393
2012-01-18,1857.580747
2012-01-19,1857.044934
2012-01-20,1874.840857
2012-01-23,1869.223707
2012-01-24,1884.677516
2012-01-25,1882.328299
2012-01-26,1882.15343
2012-01-27,1926.516426
2012-01-30,1935.294189
2012-01-31,1907.198033
2012-02-01,1933.735157
2012-02-02,1912.12459
2012-02-03,1907.389839
2012-02-06,1894.23705
2012-02-07,1916.163178
2012-02-08,1904.88824
2012-02-09,1946.2949
2012-02-10,1931.148146
2012-02-13,1931.899484
2012-02-14,1918.101155
2012-02-15,1880.672522
2012-02-16,1878.949957
2012-02-17,1834.391982
2012-02-20,1844.970138
2012-02-21,1837.46182
2012-02-22,1862.046017
2012-02-23,1878.605713
2012-02-24,1889.811531
2012-02-27,1905.698534
2012-02-28,1911.911892
2012-02-29,1952.185246
2012-03-01,1944.758547
2012-03-02,1932.74236
2012-03-05,1933.953067
2012-03-06,1917.156144
2012-03-07,1884.727905
2012-03-08,1870.462262
2012-03-09,1883.269058
2012-03-12,1880.861055
2012-03-13,1883.922234
2012-03-14,1910.693006
2012-03-15,1910.240749
2012-03-16,1910.026585
2012-03-19,1924.807319
2012-03-20,1914.778569
2012-03-21,1893.124143
2012-03-22,1892.226006
2012-03-23,1867.483276
2012-03-26,1869.45285
2012-03-27,1874.585065
2012-03-28,1882.846262
2012-03-29,1879.042818
2012-03-30,1863.034145
2012-04-02,1872.306376
2012-04-03,1867.1938
2012-04-04,1882.996406
2012-04-05,1863.20038
2012-04-10,1854.42352
2012-04-11,1854.931776
2012-04-12,1842.054947
2012-04-13,1862.703082
2012-04-16,1854.534135
2012-04-17,1834.784036
2012-04-18,1840.862495
2012-04-19,1834.788698
2012-04-20,1829.157968
2012-04-23,1841.99079
2012-04-24,1833.637392
2012-04-25,1839.351399
2012-04-26,1845.014519
2012-04-27,1856.318511
2012-04-30,1874.952585
2012-05-01,1877.483798
2012-05-02,1877.771476
2012-05-03,1864.73306
2012-05-04,1850.169541
2012-05-08,1844.667732
2012-05-09,1829.967059
