기준일,희유금속지수
2012-01-03,1444.094362
2012-01-04,1444.094362
2012-01-05,1444.094362
2012-01-06,1444.094362
2012-01-09,1448.741672
2012-01-10,1448.741672
2012-01-11,1448.741672
2012-01-12,1448.741672
2012-01-13,1448.741672
2012-01-16,1456.199973
2012-01-17,1456.199973
2012-01-18,1456.199973
2012-01-19,1456.199973
2012-01-20,1456.199973
2012-01-23,1482.948138
2012-01-24,1482.948138
2012-01-25,1482.948138
2012-01-26,1482.948138
2012-01-27,1482.948138
2012-01-30,1493.122632
2012-01-31,1493.122632
2012-02-01,1493.122632
2012-02-02,1493.122632
2012-02-03,1493.122632
2012-02-06,1503.504021
2012-02-07,1503.504021
2012-02-08,1503.504021
2012-02-09,1503.504021
2012-02-10,1503.504021
2012-02-13,1507.88073
2012-02-14,1507.88073
2012-02-15,1507.88073
2012-02-16,1507.88073
2012-02-17,1507.88073
2012-02-20,1500.362689
2012-02-21,1500.362689
2012-02-22,1500.362689
2012-02-23,1500.362689
2012-02-24,1500.362689
2012-02-27,1499.408711
2012-02-28,1499.408711
2012-02-29,1499.408711
2012-03-01,1499.408711
2012-03-02,1499.408711
2012-03-05,1494.646729
2012-03-06,1494.646729
2012-03-07,1494.646729
2012-03-08,1494.646729
2012-03-09,1494.646729
2012-03-12,1486.31516
2012-03-13,1486.31516
2012-03-14,1486.31516
2012-03-15,1486.31516
2012-03-16,1486.31516
2012-03-19,1478.117117
2012-03-20,1478.117117
2012-03-21,1478.117117
2012-03-22,1478.117117
2012-03-23,1478.117117
2012-03-26,1472.720979
2012-03-27,1472.720979
2012-03-28,1472.720979
2012-03-29,1472.720979
2012-03-30,1472.720979
2012-04-02,1461.166055
2012-04-03,1461.166055
2012-04-04,1461.166055
2012-04-05,1461.166055
2012-04-10,1461.166055
2012-04-11,1465.779005
2012-04-12,1465.779005
2012-04-13,1465.779005
2012-04-16,1478.097988
2012-04-17,1478.097988
2012-04-18,1478.097988
2012-04-19,1478.097988
