기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","",2693.5,30484,32699.4,415139,-384655
"2021-05","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",86.6,2020,760.6,6032,-4012
"2021-06","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",20.0,673,1060.9,12549,-11876
"2021-07","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",262.7,2825,747.3,6501,-3676
"2021-08","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",58.6,400,1024.9,7968,-7569
"2021-09","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",72.2,625,840.7,8786,-8160
"2021-10","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",49.0,372,614.2,11251,-10879
"2021-11","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",55.4,471,282.7,8597,-8126
"2021-12","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",56.7,441,555.9,10962,-10521
"2022-01","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",1.3,92,585.9,11599,-11506
"2022-02","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",84.8,1118,919.1,18374,-17256
"2022-03","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",41.3,514,1209.9,23369,-22855
"2022-04","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",43.3,765,848.2,22673,-21908
"2022-05","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",144.7,3579,436.2,8548,-4970
"2022-06","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",100.1,1374,475.6,14921,-13546
"2022-07","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",102.0,1443,1158.0,22104,-20660
"2022-08","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",462.9,1325,1267.2,20256,-18932
"2022-09","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",101.2,1075,596.3,6315,-5240
"2022-10","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",88.7,952,676.6,8971,-8019
"2022-11","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",70.7,653,1408.0,16689,-16037
"2022-12","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",81.9,1455,1183.8,11777,-10322
"2023-01","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",30.1,186,1667.4,13904,-13718
"2023-02","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",31.2,261,661.8,7067,-6806
"2023-03","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",23.4,316,925.2,10334,-10018
"2023-04","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",1.5,90,1760.0,14953,-14863
"2023-05","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",67.9,815,1331.1,17036,-16221
"2023-06","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",56.0,1051,1070.8,8503,-7452
"2023-07","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",113.6,463,522.2,7898,-7435
"2023-08","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",22.0,226,964.4,12668,-12441
"2023-09","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",150.7,2001,1171.6,16067,-14066
"2023-10","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",42.0,565,614.0,5780,-5215
"2023-11","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",41.4,551,928.5,7737,-7186
"2023-12","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",41.3,514,736.0,6668,-6154
"2024-01","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",43.7,628,1056.9,8298,-7670
"2024-02","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",41.8,482,194.0,2793,-2311
"2024-03","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",2.0,100,1300.8,9282,-9182
"2024-04","810520","코발트의 매트(mat)와 코발트 제련으로 생산된 그 밖의 중간생산물, 괴(塊), 가루",1.1,63,1142.6,7910,-7847
