±¤Á¾,Ç°¸ñ,´ë·ú,±¹°¡,´ÜÀ§,2011 ¼Òºñ·®,2012 ¼Òºñ·®,2013 ¼Òºñ·®,2014 ¼Òºñ·®,2015 ¼Òºñ·®,2016 ¼Òºñ·®,2017 ¼Òºñ·®,2018 ¼Òºñ·®,2019 ¼Òºñ·®,2020 ¼Òºñ·®,2021 ¼Òºñ·®,2022 ¼Òºñ·®
¾Ë·ç¹Ì´½,refined,EUROPE,Austria,ÃµÅæ,293.867,253.7,201,225.8,220.751,226.106,247.578,260.381,246.674,190.106,198.989,323.272
¾Ë·ç¹Ì´½,refined,EUROPE,Belarus,ÃµÅæ,10.2,10.2,10.2,29.598,21.898,30.197,27.001,27.052,31.673,29.178,39.481,38.997
¾Ë·ç¹Ì´½,refined,EUROPE,Belgium,ÃµÅæ,382.312,344.28,236.78,202.967,231.648,184.982,212.039,233.065,181.368,138.809,204.808,246.109
¾Ë·ç¹Ì´½,refined,EUROPE,Bulgaria,ÃµÅæ,52.188,53.527,60.645,87.027,109.824,110.526,109.522,111.927,119.211,95.958,128.057,127.192
¾Ë·ç¹Ì´½,refined,EUROPE,Croatia,ÃµÅæ,77.771,83.684,76.755,66.065,24.672,52.033,96.463,112.93,136.757,143.869,159.163,135.872
¾Ë·ç¹Ì´½,refined,EUROPE,Czech Republic,ÃµÅæ,173.054,160.59,154.357,147.329,152.171,143.921,142.835,90.579,69.129,23.958,0,0
¾Ë·ç¹Ì´½,refined,EUROPE,Denmark,ÃµÅæ,64.759,55.256,34.5,39.334,62.734,69.6,70.884,67.719,48.243,13.432,9.509,11.983
¾Ë·ç¹Ì´½,refined,EUROPE,Finland,ÃµÅæ,37.175,32.17,33.007,36.964,36.272,37.133,41.203,41.824,35.433,34.831,42.271,37.798
¾Ë·ç¹Ì´½,refined,EUROPE,France,ÃµÅæ,583.9,546.245,588.107,693.843,655.998,731.56,706.904,692.537,671.362,585.195,659.282,619.684
¾Ë·ç¹Ì´½,refined,EUROPE,Germany,ÃµÅæ,2103.344,2085.629,2082.96,2289.476,2163.247,2197.239,2159.921,2139.248,1988.308,1808,2111,2056.8
¾Ë·ç¹Ì´½,refined,EUROPE,Greece,ÃµÅæ,221.682,234.515,253.893,250.744,247.243,291.057,385.293,399.844,366.075,410.12,446.023,481.577
¾Ë·ç¹Ì´½,refined,EUROPE,Hungary,ÃµÅæ,245.259,221.597,179.138,203.32,215.539,219.999,251.233,232.475,193.61,138.468,192.794,195.335
¾Ë·ç¹Ì´½,refined,EUROPE,Ireland,ÃµÅæ,0.84,0.84,0.84,0.84,0.794,2.036,1.061,0.642,1.741,1.592,9.539,9.259
¾Ë·ç¹Ì´½,refined,EUROPE,Italy,ÃµÅæ,994.403,751.788,709.12,810.463,800.926,908.805,924.155,950.527,938.394,768.121,950.254,1054.396
¾Ë·ç¹Ì´½,refined,EUROPE,Macedonia,ÃµÅæ,1.942,2.329,2.809,3.027,3.93,4.592,5.185,6.426,5.353,4.749,5.309,5.603
¾Ë·ç¹Ì´½,refined,EUROPE,Netherlands,ÃµÅæ,146.4,146.4,146.4,146.4,146.4,146.4,112.8,112.8,112.8,112.8,104,60
¾Ë·ç¹Ì´½,refined,EUROPE,Norway,ÃµÅæ,180,180,222.015,187.563,222.63,240,240,222.587,249.6,231.324,276,252
¾Ë·ç¹Ì´½,refined,EUROPE,Poland,ÃµÅæ,266.842,282.417,148.413,147.833,192.372,229.532,234.69,288.192,281.729,283.401,278.712,276.311
¾Ë·ç¹Ì´½,refined,EUROPE,Portugal,ÃµÅæ,75.811,64.902,61.882,73.227,94.984,106.951,113.695,109.994,110.537,98.479,123.245,114.521
¾Ë·ç¹Ì´½,refined,EUROPE,Romania,ÃµÅæ,190.206,177.306,194.505,217.494,213.014,218.295,223.871,224.817,232.48,222.88,238.058,187.797
¾Ë·ç¹Ì´½,refined,EUROPE,Russia,ÃµÅæ,685,685,684.96,667.83,692,684.96,684.96,696,696,616,600,600
¾Ë·ç¹Ì´½,refined,EUROPE,Serbia,ÃµÅæ,142.469,128.694,105.892,101.077,101.142,94.988,91.024,109.179,103.659,48.357,72.737,58.547
¾Ë·ç¹Ì´½,refined,EUROPE,Slovakia,ÃµÅæ,29.453,28.8,28.8,28.8,28.8,28.8,29.828,108.686,103.195,86.737,115.958,54.093
¾Ë·ç¹Ì´½,refined,EUROPE,Slovenia,ÃµÅæ,136.864,133.237,197.08,146.363,134.579,123.404,120.108,114.483,75.281,68.255,68.883,74.907
¾Ë·ç¹Ì´½,refined,EUROPE,Spain,ÃµÅæ,597.824,566.595,595.491,727.457,563.947,686.061,710.487,793.746,737.749,673.425,806.929,483.15
¾Ë·ç¹Ì´½,refined,EUROPE,Sweden,ÃµÅæ,136.672,115.508,90.542,141.184,112.781,143.474,147.958,142.037,87.234,93.002,133.424,112.208
¾Ë·ç¹Ì´½,refined,EUROPE,Switzerland,ÃµÅæ,237.793,218.42,223.223,251.718,300.353,322.919,315.854,210.417,218.303,170.947,215.391,240.64
¾Ë·ç¹Ì´½,refined,EUROPE,Ukraine,ÃµÅæ,31.764,29.807,32.255,15.257,7.365,9.608,13.957,14.632,12.058,7.322,2.947,0
¾Ë·ç¹Ì´½,refined,EUROPE,United Kingdom,ÃµÅæ,270,270,270,270,270,241.2,241.2,180,180,171,180,180
¾Ë·ç¹Ì´½,refined,EUROPE,Other Europe,ÃµÅæ,84,84,84,92.64,92.64,81.36,99.24,109.2,210.5,137.1,187.8,312.2
¾Ë·ç¹Ì´½,refined,AFRICA,Algeria,ÃµÅæ,4.272,5.734,11.105,14.324,15.102,17.392,23.319,20.903,1.433,3.673,3.348,1.33
¾Ë·ç¹Ì´½,refined,AFRICA,Cameroon,ÃµÅæ,22.54,11.235,11.4,11.4,11.4,11.4,11.4,11.4,24.537,22.514,17.692,18.384
¾Ë·ç¹Ì´½,refined,AFRICA,Egypt,ÃµÅæ,264.376,324.869,254.283,232.95,260.397,224.864,220.096,273.972,243.693,102.953,146.4,206.188
¾Ë·ç¹Ì´½,refined,AFRICA,Ghana,ÃµÅæ,18,18,14.364,14.16,13.552,9.913,9.702,3.48,0.6,7.901,16.579,14.4
¾Ë·ç¹Ì´½,refined,AFRICA,Morocco,ÃµÅæ,25.041,21.012,21.94,23.792,26.473,37.552,47.035,48.288,68.873,78.019,130.311,147.452
¾Ë·ç¹Ì´½,refined,AFRICA,Nigeria,ÃµÅæ,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.72,15.6,12,15.6,15.6
¾Ë·ç¹Ì´½,refined,AFRICA,South Africa,ÃµÅæ,259.362,233.255,256.402,234.32,221.159,244.789,230.371,243.583,222.238,166.758,223.098,158.763
¾Ë·ç¹Ì´½,refined,AFRICA,Other Africa,ÃµÅæ,29.1,29.1,29.1,34.268,34.32,34.32,34.32,36.4,24.1,28.9,19.8,21.9
¾Ë·ç¹Ì´½,refined,ASIA,Bahrain,ÃµÅæ,400,450,450,450,450,450,450,450,456,474,392,240
¾Ë·ç¹Ì´½,refined,ASIA,Bangladesh,ÃµÅæ,29.185,49.691,52.152,55.268,72.75,76.701,83.474,92.089,105.2,87.8,60.5,54.1
¾Ë·ç¹Ì´½,refined,ASIA,China,ÃµÅæ,19638.963,22585.394,26442.923,28003.298,31068.071,32562.841,31907.962,35520.746,36175.078,39114.024,40980.452,41940.667
¾Ë·ç¹Ì´½,refined,ASIA,Hong Kong,ÃµÅæ,26.499,32.689,35.126,24.508,23.657,25.549,30.96,20.755,25.523,16.754,24.815,10.486
¾Ë·ç¹Ì´½,refined,ASIA,India,ÃµÅæ,1569.173,1689.955,1558.723,1655.094,1521.482,2201.514,2253.285,1750.005,1939.614,1669.51,1532.979,1868.893
¾Ë·ç¹Ì´½,refined,ASIA,Indonesia,ÃµÅæ,485.231,539.792,490.702,407.316,444.143,502.008,517.761,438.02,430.742,244.212,351.22,285.797
¾Ë·ç¹Ì´½,refined,ASIA,Iran,ÃµÅæ,271.517,300.72,211.633,257.779,281.52,273.858,296.8,268.599,229.631,414.964,339.373,331.852
¾Ë·ç¹Ì´½,refined,ASIA,Israel,ÃµÅæ,66.888,61.31,66.675,61.2,55,41.359,53.317,57.967,49.282,44.412,77.55,67.223
¾Ë·ç¹Ì´½,refined,ASIA,Japan,ÃµÅæ,1945.801,1981.59,1771.825,2033.703,1778.716,1741.648,1949.571,1978.636,1765.122,1432.939,1741.06,1716.2
¾Ë·ç¹Ì´½,refined,ASIA,Malaysia,ÃµÅæ,296.354,189.443,154.623,276.948,482.3,276.041,287.561,363.66,569.337,853.555,655.2,240
¾Ë·ç¹Ì´½,refined,ASIA,North Korea,ÃµÅæ,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
¾Ë·ç¹Ì´½,refined,ASIA,Philippines,ÃµÅæ,29.312,25.266,24.19,29.039,30.55,37.325,40.602,44.722,37.837,20.886,28.816,15.523
¾Ë·ç¹Ì´½,refined,ASIA,Saudi Arabia,ÃµÅæ,125,150,150,162,273.936,267.123,378,507.841,598.621,649.604,710.446,676.37
