기준일,기준가격,등락가,등락비율,재고량
2021-06-09,18088,260,1.46,241260
2021-06-10,17783,-305,-1.69,240570
2021-06-11,18303,520,2.92,240732
2021-06-14,18276,-27,-0.15,240222
2021-06-15,17909,-367,-2.01,240492
2021-06-16,17483,-426,-2.38,239838
2021-06-17,17287,-196,-1.12,238602
2021-06-18,17320,33,0.19,238410
2021-06-21,17310,-10,-0.06,237678
2021-06-22,17701,391,2.26,237414
2021-06-23,17867,166,0.94,235818
2021-06-24,18192,325,1.82,234900
2021-06-25,18611,419,2.3,234576
2021-06-28,18358,-253,-1.36,234186
2021-06-29,18213,-145,-0.79,233814
2021-06-30,18450,237,1.3,232476
2021-07-01,18082,-368,-1.99,231498
2021-07-02,18141,59,0.33,231378
2021-07-05,18370,229,1.26,232566
2021-07-06,18541,171,0.93,232554
2021-07-07,18309,-232,-1.25,231312
2021-07-08,18180,-129,-0.7,229980
2021-07-09,18673,493,2.71,228612
2021-07-12,18566,-107,-0.57,226962
2021-07-13,18785,219,1.18,226230
2021-07-14,18689,-96,-0.51,225312
2021-07-15,18695,6,0.03,223872
2021-07-16,18895,200,1.07,223248
2021-07-19,18866,-29,-0.15,221892
2021-07-20,18570,-296,-1.57,220125
2021-07-21,18382,-188,-1.01,220074
2021-07-22,18870,488,2.65,219516
2021-07-23,19267,397,2.1,219444
2021-07-26,19482,215,1.12,219180
2021-07-27,19368,-114,-0.59,217878
2021-07-28,19583,215,1.11,215820
2021-07-29,19769,186,0.95,215412
2021-07-30,19892,123,0.62,214632
2021-08-02,19725,-167,-0.84,213120
2021-08-03,19324,-401,-2.03,211068
2021-08-04,19448,124,0.64,210192
2021-08-05,19279,-169,-0.87,209898
2021-08-06,19533,254,1.32,208590
2021-08-09,18748,-785,-4.02,207636
2021-08-10,18718,-30,-0.16,205632
2021-08-11,18885,167,0.89,205452
2021-08-12,19540,655,3.47,204012
2021-08-13,19650,110,0.56,202896
2021-08-16,19505,-145,-0.74,202212
2021-08-17,19470,-35,-0.18,200382
2021-08-18,19019,-451,-2.32,199110
2021-08-19,18476,-543,-2.86,198486
2021-08-20,18569,93,0.5,198114
2021-08-23,18895,326,1.76,197297
2021-08-24,19065,170,0.9,195558
2021-08-25,19225,160,0.84,197076
2021-08-26,18868,-357,-1.86,196290
2021-08-27,18914,46,0.24,195252
2021-08-31,19513,599,3.17,194466
2021-09-01,19541,28,0.14,192456
2021-09-02,19365,-176,-0.9,190488
2021-09-03,19494,129,0.67,188676
2021-09-06,19640,146,0.75,187602
2021-09-07,19555,-85,-0.43,185160
2021-09-08,19725,170,0.87,183678
2021-09-09,20240,515,2.61,181368
2021-09-10,20375,135,0.67,179394
2021-09-13,19930,-445,-2.18,177078
2021-09-14,19640,-290,-1.46,175608
2021-09-15,19850,210,1.07,174282
2021-09-16,19530,-320,-1.61,173298
2021-09-17,20060,530,2.71,171714
2021-09-20,19080,-980,-4.89,169992
2021-09-21,18910,-170,-0.89,166788
2021-09-22,19080,170,0.9,165882
2021-09-23,19235,155,0.81,164610
2021-09-24,19180,-55,-0.29,164034
2021-09-27,18910,-270,-1.41,162690
2021-09-28,18620,-290,-1.53,160230
2021-09-29,18625,5,0.03,158274
2021-09-30,18180,-445,-2.39,157062
2021-10-01,18125,-55,-0.3,156234
2021-10-04,18140,15,0.08,155244
2021-10-05,17800,-340,-1.87,154440
2021-10-06,18095,295,1.66,153180
2021-10-07,18240,145,0.8,151728
2021-10-08,18870,630,3.45,149412
2021-10-11,19420,550,2.91,148878
2021-10-12,19375,-45,-0.23,147780
2021-10-13,19235,-140,-0.72,147060
2021-10-14,19290,55,0.29,146292
2021-10-15,19860,570,2.95,146022
2021-10-18,20215,355,1.79,144588
2021-10-19,20455,240,1.19,143856
2021-10-20,20035,-420,-2.05,143502
2021-10-21,20530,495,2.47,142788
2021-10-22,20355,-175,-0.85,142446
2021-10-25,20135,-220,-1.08,141984
2021-10-26,20495,360,1.79,141252
2021-10-27,19850,-645,-3.15,142662
2021-10-28,19825,-25,-0.13,143334
2021-10-29,19480,-345,-1.74,143002
2021-11-01,19650,170,0.87,142440
2021-11-02,19825,175,0.89,140904
2021-11-03,19780,-45,-0.23,139878
2021-11-04,19590,-190,-0.96,138096
2021-11-05,19270,-320,-1.63,137196
2021-11-08,19625,355,1.84,135852
2021-11-09,19720,95,0.48,134172
2021-11-10,19635,-85,-0.43,133002
2021-11-11,19850,215,1.09,132534
2021-11-12,19950,100,0.5,130278
2021-11-15,19950,0,0,129570
2021-11-16,19675,-275,-1.38,127818
2021-11-17,19575,-100,-0.51,126090
2021-11-18,19295,-280,-1.43,124866
2021-11-19,19980,685,3.55,123444
2021-11-22,20270,290,1.45,121218
2021-11-23,20590,320,1.58,118164
2021-11-24,21135,545,2.65,117348
2021-11-25,21075,-60,-0.28,116712
2021-11-26,20235,-840,-3.99,115446
2021-11-29,20350,115,0.57,115296
2021-11-30,20190,-160,-0.79,114360
2021-12-01,20410,220,1.09,114114
2021-12-02,20190,-220,-1.08,113640
2021-12-03,20290,100,0.5,112590
2021-12-06,19980,-310,-1.53,110688
2021-12-07,20305,325,1.63,110358
2021-12-08,20430,125,0.62,109986
2021-12-09,19975,-455,-2.23,108918
2021-12-10,19960,-15,-0.08,108630
2021-12-13,19905,-55,-0.28,108276
2021-12-14,19750,-155,-0.78,107754
2021-12-15,19330,-420,-2.13,106998
2021-12-16,19585,255,1.32,106296
2021-12-17,19840,255,1.3,106128
2021-12-20,19370,-470,-2.37,105390
2021-12-21,19750,380,1.96,104520
2021-12-22,19985,235,1.19,104310
2021-12-23,20180,195,0.98,104160
2021-12-24,20295,115,0.57,103848
2021-12-29,20320,25,0.12,103656
2021-12-30,20700,380,1.87,103020
2021-12-31,20925,225,1.09,101886
2022-01-04,20730,-195,-0.93,101256
2022-01-05,20900,170,0.82,101136
2022-01-06,20480,-420,-2.01,100494
2022-01-07,20725,245,1.2,100248
2022-01-10,21045,320,1.54,99954
2022-01-11,21680,635,3.02,99744
2022-01-12,22200,520,2.4,99462
2022-01-13,22130,-70,-0.32,98364
2022-01-14,22850,720,3.25,97746
2022-01-17,22475,-375,-1.64,97038
2022-01-18,22740,265,1.18,94872
2022-01-19,22795,55,0.24,94830
2022-01-20,23900,1105,4.85,94830
2022-01-21,24000,100,0.42,93480
2022-01-24,23500,-500,-2.08,93102
2022-01-25,22535,-965,-4.11,92688
2022-01-26,23425,890,3.95,92574
2022-01-27,22860,-565,-2.41,92034
2022-01-28,22750,-110,-0.48,91716
2022-01-31,22800,50,0.22,90600
2022-02-01,23300,500,2.19,89364
2022-02-02,23400,100,0.43,88608
2022-02-03,23225,-175,-0.75,88182
2022-02-04,23475,250,1.08,87504
2022-02-07,23650,175,0.75,87012
2022-02-08,23530,-120,-0.51,85890
2022-02-09,23550,20,0.08,85644
2022-02-10,24055,505,2.14,84720
2022-02-11,23705,-350,-1.45,84486
2022-02-14,23650,-55,-0.23,84894
2022-02-15,23950,300,1.27,84474
2022-02-16,23905,-45,-0.19,83820
2022-02-17,24150,245,1.02,83736
2022-02-18,24500,350,1.45,83328
2022-02-21,24870,370,1.51,83274
2022-02-22,25650,780,3.14,82314
2022-02-23,24950,-700,-2.73,81300
2022-02-24,26105,1155,4.63,81132
2022-02-25,24700,-1405,-5.38,80088
2022-02-28,25240,540,2.19,80094
2022-03-01,25450,210,0.83,79524
2022-03-02,27000,1550,6.09,78162
2022-03-03,28800,1800,6.67,77784
2022-03-04,29800,1000,3.47,77082
2022-03-07,42995,13195,44.28,76830
2022-03-08,30800,-12195,-28.36,75012
2022-03-09,30800,0,0,74778
2022-03-10,30800,0,0,74238
2022-03-11,30800,0,0,75702
2022-03-14,30800,0,0,75318
