기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","",1840.1,1667,13874617.2,1423689,-1422022
"2019-09","2604000000","니켈광과 그 정광(精鑛)",0.0,0,296026.0,22178,-22178
"2019-10","2604000000","니켈광과 그 정광(精鑛)",127.6,255,300576.0,28045,-27790
"2019-11","2604000000","니켈광과 그 정광(精鑛)",0.0,0,293401.0,26939,-26939
"2019-12","2604000000","니켈광과 그 정광(精鑛)",0.0,0,401032.0,32412,-32412
"2020-01","2604000000","니켈광과 그 정광(精鑛)",0.0,0,120241.0,9282,-9282
"2020-02","2604000000","니켈광과 그 정광(精鑛)",0.0,0,115729.0,8701,-8701
"2020-03","2604000000","니켈광과 그 정광(精鑛)",0.0,0,250074.0,17422,-17422
"2020-04","2604000000","니켈광과 그 정광(精鑛)",0.0,0,236311.0,15668,-15668
"2020-05","2604000000","니켈광과 그 정광(精鑛)",21.5,2,288631.0,18065,-18063
"2020-06","2604000000","니켈광과 그 정광(精鑛)",14.0,41,293015.0,17634,-17593
"2020-07","2604000000","니켈광과 그 정광(精鑛)",0.0,0,302850.0,19833,-19833
"2020-08","2604000000","니켈광과 그 정광(精鑛)",0.0,0,190379.0,12726,-12726
"2020-09","2604000000","니켈광과 그 정광(精鑛)",0.0,0,238292.5,16808,-16808
"2020-10","2604000000","니켈광과 그 정광(精鑛)",0.0,0,248332.0,18222,-18222
"2020-11","2604000000","니켈광과 그 정광(精鑛)",18.2,9,227688.0,17029,-17020
"2020-12","2604000000","니켈광과 그 정광(精鑛)",0.0,0,420600.0,32205,-32205
"2021-01","2604000000","니켈광과 그 정광(精鑛)",8.5,6,109728.0,8772,-8765
"2021-02","2604000000","니켈광과 그 정광(精鑛)",42.6,21,55000.0,4812,-4792
"2021-03","2604000000","니켈광과 그 정광(精鑛)",0.0,0,294795.0,29308,-29308
"2021-04","2604000000","니켈광과 그 정광(精鑛)",0.0,0,225001.0,22769,-22769
"2021-05","2604000000","니켈광과 그 정광(精鑛)",0.0,0,300574.0,26912,-26912
"2021-06","2604000000","니켈광과 그 정광(精鑛)",0.0,0,311072.1,26962,-26962
"2021-07","2604000000","니켈광과 그 정광(精鑛)",35.1,15,292084.0,31027,-31012
"2021-08","2604000000","니켈광과 그 정광(精鑛)",0.0,0,355608.0,38193,-38193
"2021-09","2604000000","니켈광과 그 정광(精鑛)",0.0,0,365787.0,39324,-39324
"2021-10","2604000000","니켈광과 그 정광(精鑛)",0.0,0,175318.9,27437,-27437
"2021-11","2604000000","니켈광과 그 정광(精鑛)",0.0,0,343960.0,42893,-42893
"2021-12","2604000000","니켈광과 그 정광(精鑛)",0.0,0,352606.0,42275,-42275
"2022-01","2604000000","니켈광과 그 정광(精鑛)",0.0,0,187410.1,21087,-21087
"2022-02","2604000000","니켈광과 그 정광(精鑛)",0.0,0,120257.0,13904,-13904
"2022-03","2604000000","니켈광과 그 정광(精鑛)",45.6,64,109901.0,13502,-13439
"2022-04","2604000000","니켈광과 그 정광(精鑛)",61.9,143,210657.6,29125,-28983
"2022-05","2604000000","니켈광과 그 정광(精鑛)",0.0,0,308722.0,52058,-52058
"2022-06","2604000000","니켈광과 그 정광(精鑛)",0.0,0,355339.0,60428,-60428
"2022-07","2604000000","니켈광과 그 정광(精鑛)",0.0,0,99980.0,25596,-25596
"2022-08","2604000000","니켈광과 그 정광(精鑛)",0.0,0,280673.4,42411,-42411
"2022-09","2604000000","니켈광과 그 정광(精鑛)",0.0,0,215580.0,27989,-27989
"2022-10","2604000000","니켈광과 그 정광(精鑛)",0.0,0,235046.3,28572,-28572
"2022-11","2604000000","니켈광과 그 정광(精鑛)",0.3,0,294599.0,36778,-36778
"2022-12","2604000000","니켈광과 그 정광(精鑛)",0.0,0,235121.0,30977,-30977
"2023-01","2604000000","니켈광과 그 정광(精鑛)",6.8,60,217545.0,24836,-24776
"2023-02","2604000000","니켈광과 그 정광(精鑛)",0.0,0,120271.1,13265,-13265
"2023-03","2604000000","니켈광과 그 정광(精鑛)",20.2,64,342270.3,45625,-45562
"2023-04","2604000000","니켈광과 그 정광(精鑛)",38.3,30,216871.3,24123,-24093
"2023-05","2604000000","니켈광과 그 정광(精鑛)",0.0,0,246387.0,28982,-28982
"2023-06","2604000000","니켈광과 그 정광(精鑛)",7.2,96,365627.0,47362,-47266
"2023-07","2604000000","니켈광과 그 정광(精鑛)",10.2,124,117625.4,14182,-14058
"2023-08","2604000000","니켈광과 그 정광(精鑛)",0.0,0,302683.2,29835,-29835
"2023-09","2604000000","니켈광과 그 정광(精鑛)",604.5,321,238010.9,20459,-20138
"2023-10","2604000000","니켈광과 그 정광(精鑛)",267.7,140,172091.0,15128,-14988
"2023-11","2604000000","니켈광과 그 정광(精鑛)",112.2,10,413335.2,37126,-37117
"2023-12","2604000000","니켈광과 그 정광(精鑛)",113.2,183,282827.0,23937,-23753
"2024-01","2604000000","니켈광과 그 정광(精鑛)",43.6,2,303020.8,25122,-25120
"2024-02","2604000000","니켈광과 그 정광(精鑛)",93.5,4,55022.1,4454,-4450
"2024-03","2604000000","니켈광과 그 정광(精鑛)",44.8,3,175426.6,13770,-13767
"2024-04","2604000000","니켈광과 그 정광(精鑛)",102.3,76,247605.0,19202,-19126
