기준일,기준가격,등락가,등락비율,재고량
2021-06-09,81,0,0,0
2021-06-10,81,0,0,0
2021-06-11,81,0,0,0
2021-06-15,81,0,0,0
2021-06-16,81,0,0,0
2021-06-17,81,0,0,0
2021-06-18,81,0,0,0
2021-06-21,81,0,0,0
2021-06-22,81,0,0,0
2021-06-23,80,-1,-1.23,0
2021-06-24,80,0,0,0
2021-06-25,80,0,0,0
2021-06-28,80,0,0,0
2021-06-29,80,0,0,0
2021-06-30,80,0,0,0
2021-07-01,80,0,0,0
2021-07-02,80,0,0,0
2021-07-05,80,0,0,0
2021-07-06,80,0,0,0
2021-07-07,80,0,0,0
2021-07-08,80,0,0,0
2021-07-09,80,0,0,0
2021-07-12,80,0,0,0
2021-07-13,80,0,0,0
2021-07-14,80,0,0,0
2021-07-15,80,0,0,0
2021-07-16,80,0,0,0
2021-07-19,80,0,0,0
2021-07-20,80,0,0,0
2021-07-21,80,0,0,0
2021-07-22,80,0,0,0
2021-07-23,80,0,0,0
2021-07-26,82,2,2.5,0
2021-07-27,82,0,0,0
2021-07-28,83,1,1.22,0
2021-07-29,84,1,1.2,0
2021-07-30,85,1,1.19,0
2021-08-02,85,0,0,0
2021-08-03,87,2,2.35,0
2021-08-04,87,0,0,0
2021-08-05,87,0,0,0
2021-08-06,87,0,0,0
2021-08-09,89,2,2.3,0
2021-08-10,91,2,2.25,0
2021-08-11,92,1,1.1,0
2021-08-12,93,1,1.09,0
2021-08-13,94,1,1.08,0
2021-08-16,96,2,2.13,0
2021-08-17,98,2,2.08,0
2021-08-18,100,2,2.04,0
2021-08-19,100,0,0,0
2021-08-20,100,0,0,0
2021-08-23,102,2,2,0
2021-08-24,104,2,1.96,0
2021-08-25,106,2,1.92,0
2021-08-26,107,1,0.94,0
2021-08-27,108,1,0.93,0
2021-08-30,110,2,1.85,0
2021-08-31,112,2,1.82,0
2021-09-01,115,3,2.68,0
2021-09-02,118,3,2.61,0
2021-09-03,120,2,1.69,0
2021-09-06,122,2,1.67,0
2021-09-07,125,3,2.46,0
2021-09-08,128,3,2.4,0
2021-09-09,131,3,2.34,0
2021-09-10,134,3,2.29,0
2021-09-13,137,3,2.24,0
2021-09-14,139,2,1.46,0
2021-09-15,142,3,2.16,0
2021-09-16,145,3,2.11,0
2021-09-17,148,3,2.07,0
2021-09-18,151,3,2.03,0
2021-09-22,154,3,1.99,0
2021-09-23,157,3,1.95,0
2021-09-24,160,3,1.91,0
2021-09-26,163,3,1.88,0
2021-09-27,166,3,1.84,0
2021-09-28,169,3,1.81,0
2021-09-29,171,2,1.18,0
2021-10-11,173,2,1.17,0
2021-10-12,173,0,0,0
2021-10-13,173,0,0,0
2021-10-14,173,0,0,0
2021-10-15,173,0,0,0
2021-10-18,173,0,0,0
2021-10-19,173,0,0,0
2021-10-20,173,0,0,0
2021-10-21,174.5,1.5,0.87,0
2021-10-22,172.5,-2,-1.15,0
