기준일,수급안정화지수,전월대비  등락가,전월대비 등락율
2017-01,12.01,0,0
2017-02,11.44,-0.57,-4.71
2017-03,11.45,0.02,0.13
2017-04,11.06,-0.39,-3.40
2017-05,9.91,-1.16,-10.46
2017-06,8.60,-1.31,-13.19
2017-07,8.32,-0.28,-3.28
2017-08,7.67,-0.65,-7.83
2017-09,7.37,-0.30,-3.87
2017-10,5.18,-2.20,-29.78
2017-11,4.73,-0.45,-8.60
2017-12,4.29,-0.44,-9.24
2018-01,4.21,-0.08,-1.96
2018-02,4.48,0.27,6.44
2018-03,5.07,0.59,13.24
2018-04,5.06,-0.02,-0.35
2018-05,6.12,1.06,21.03
2018-06,7.71,1.59,26.05
2018-07,13.93,6.22,80.64
2018-08,21.97,8.04,57.71
2018-09,32.03,10.06,45.76
2018-10,37.53,5.50,17.17
2018-11,41.66,4.14,11.02
2018-12,40.76,-0.91,-2.17
2019-01,41.37,0.61,1.50
2019-02,46.56,5.20,12.56
2019-03,46.82,0.26,0.56
2019-04,48.24,1.42,3.02
2019-05,49.01,0.78,1.61
2019-06,48.27,-0.74,-1.51
2019-07,48.71,0.44,0.91
2019-08,51.47,2.76,5.67
2019-09,56.40,4.93,9.57
2019-10,61.27,4.87,8.63
2019-11,61.68,0.41,0.68
2019-12,62.94,1.25,2.03
2020-01,66.45,3.52,5.59
2020-02,68.00,1.55,2.33
2020-03,68.14,0.13,0.20
2020-04,67.60,-0.53,-0.78
2020-05,68.44,0.84,1.24
2020-06,69.67,1.23,1.80
2020-07,70.78,1.11,1.60
2020-08,70.48,-0.31,-0.44
2020-09,70.07,-0.40,-0.57
2020-10,70.41,0.34,0.48
2020-11,69.78,-0.63,-0.90
2020-12,67.74,-2.04,-2.92
2021-01,62.95,-4.79,-7.07
2021-02,49.83,-13.12,-20.84
2021-03,40.15,-9.69,-19.44
2021-04,32.60,-7.54,-18.79
2021-05,31.56,-1.04,-3.19
2021-06,32.46,0.90,2.85
2021-07,40.41,7.95,24.48
2021-08,40.67,0.26,0.63
2021-09,29.78,-10.89,-26.77
2021-10,9.60,-20.18,-67.76
2021-11,4.21,-5.40,-56.20
2021-12,11.24,7.04,167.32
2022-01,5.79,-5.45,-48.47
2022-02,1.94,-3.86,-66.56
2022-03,1.50,-0.44,-22.82
2022-04,2.00,0.50,33.65
2022-05,2.74,0.74,37.19
2022-06,3.15,0.41,14.96
2022-07,8.21,5.06,160.49
2022-08,8.41,0.20,2.46
2022-09,8.30,-0.11,-1.26
2022-10,15.23,6.92,83.36
2022-11,12.33,-2.90,-19.05
2022-12,9.94,-2.39,-19.38
2023-01,13.78,3.84,38.67
2023-02,20.24,6.46,46.85
2023-03,26.29,6.06,29.92
2023-04,46.18,19.89,75.65
2023-05,62.32,16.14,34.96
2023-06,44.03,-18.30,-29.36
2023-07,28.00,-16.03,-36.41
2023-08,29.98,1.98,7.07
2023-09,45.08,15.11,50.40
2023-10,57.91,12.83,28.45
2023-11,61.98,4.08,7.04
2023-12,66.36,4.38,7.06
2024-01,72.07,5.71,8.60
2024-02,73.96,1.89,2.63
2024-03,73.82,-0.14,-0.19
2024-04,71.25,-2.57,-3.48
2024-05,69.38,-1.87,-2.62
2024-06,70.42,1.04,1.49
