기간,HS코드,품목명,수산화리튬 수출 중량,수출 금액,수산화리튬 수입 중량,수입 금액,무역수지
2021-06,2825202000,수산화리튬,74.7,732,5111.1,60489,-59756
2021-07,2825202000,수산화리튬,42,372,2943,34710,-34338
2021-08,2825202000,수산화리튬,393.2,3057,5194.3,64514,-61457
2021-09,2825202000,수산화리튬,1.9,146,4579.7,57363,-57217
2021-10,2825202000,수산화리튬,120.3,901,4520.4,57747,-56846
2021-11,2825202000,수산화리튬,36.8,267,4806.4,71254,-70986
2021-12,2825202000,수산화리튬,22.4,150,5888.9,98833,-98684
2022-01,2825202000,수산화리튬,9.6,97,6157.7,127983,-127886
2022-02,2825202000,수산화리튬,57,1425,3048.6,63927,-62502
2022-03,2825202000,수산화리튬,10,149,5408.4,172296,-172147
2022-04,2825202000,수산화리튬,0.5,2,3919.5,159402,-159399
2022-05,2825202000,수산화리튬,0,1,5922.3,341947,-341946
2022-06,2825202000,수산화리튬,1.9,34,8364.4,533941,-533907
2022-07,2825202000,수산화리튬,80.5,2271,5720.3,337407,-335136
2022-08,2825202000,수산화리튬,5.5,323,6030.4,385237,-384914
2022-09,2825202000,수산화리튬,127.8,333,5664.8,346321,-345988
2022-10,2825202000,수산화리튬,11.7,770,7474.9,435541,-434771
2022-11,2825202000,수산화리튬,12.4,74,6128.8,355212,-355138
2022-12,2825202000,수산화리튬,505.4,34343,7030.7,401530,-367188
2023-01,2825202000,수산화리튬,1.8,140,8454.3,647230,-647090
2023-02,2825202000,수산화리튬,10.1,630,8754.3,675190,-674560
2023-03,2825202000,수산화리튬,108,9342,11907.3,837725,-828383
2023-04,2825202000,수산화리튬,0,0,8524.1,550885,-550885
2023-05,2825202000,수산화리튬,2,170,8723.6,464634,-464464
2023-06,2825202000,수산화리튬,220.1,15625,9596.9,522362,-506737
2023-07,2825202000,수산화리튬,247.5,17062,9952.6,495432,-478370
2023-08,2825202000,수산화리튬,0,0,10345.2,493567,-493567
2023-09,2825202000,수산화리튬,6.5,231,9624.5,399062,-398832
2023-10,2825202000,수산화리튬,236.8,10710,9097.1,331685,-320975
2023-11,2825202000,수산화리튬,982.1,46279,12763.5,414208,-367929
2023-12,2825202000,수산화리튬,450.9,21704,11974.3,354051,-332348
2024-01,2825202000,수산화리튬,3,48,7827.4,170490,-170442
2024-02,2825202000,수산화리튬,11.1,230,8408.7,156551,-156321
2024-03,2825202000,수산화리튬,0.2,16,10260.1,172691,-172674
2024-04,2825202000,수산화리튬,38.1,509,9062.7,144866,-144357
2024-05,2825202000,수산화리튬,4.5,66,9358.9,160120,-160053
