기준일,시장전망지표,전월대비  등락가,전월대비 등락율
2008-01,null,0,0
2008-02,63.63,0,0
2008-03,58.15,-5.48,-8.61
2008-04,54.99,-3.16,-5.43
2008-05,53.76,-1.23,-2.23
2008-06,53.37,-0.40,-0.74
2008-07,49.55,-3.82,-7.15
2008-08,52.96,3.41,6.89
2008-09,59.92,6.96,13.14
2008-10,61.52,1.60,2.68
2008-11,66.26,4.74,7.70
2008-12,69.64,3.38,5.10
2009-01,73.50,3.86,5.54
2009-02,72.91,-0.59,-0.80
2009-03,69.27,-3.64,-4.99
2009-04,68.78,-0.48,-0.70
2009-05,68.66,-0.13,-0.18
2009-06,67.70,-0.96,-1.40
2009-07,68.68,0.98,1.45
2009-08,69.14,0.47,0.68
2009-09,69.16,0.01,0.02
2009-10,68.99,-0.16,-0.24
2009-11,68.71,-0.29,-0.41
2009-12,68.51,-0.20,-0.29
2010-01,68.58,0.07,0.10
2010-02,70.02,1.44,2.10
2010-03,69.85,-0.17,-0.25
2010-04,69.57,-0.28,-0.40
2010-05,69.36,-0.21,-0.31
2010-06,70.39,1.03,1.49
2010-07,70.26,-0.12,-0.18
2010-08,70.37,0.11,0.16
2010-09,71.04,0.67,0.95
2010-10,70.48,-0.56,-0.79
2010-11,70.75,0.27,0.38
2010-12,71.85,1.10,1.56
2011-01,72.61,0.76,1.06
2011-02,74.52,1.91,2.63
2011-03,74.34,-0.18,-0.24
2011-04,74.21,-0.14,-0.18
2011-05,74.23,0.03,0.04
2011-06,74.78,0.55,0.74
2011-07,74.40,-0.39,-0.51
2011-08,73.60,-0.80,-1.07
2011-09,72.58,-1.02,-1.39
2011-10,72.02,-0.56,-0.77
2011-11,71.32,-0.70,-0.97
2011-12,71.42,0.10,0.14
2012-01,71.62,0.20,0.28
2012-02,70.94,-0.68,-0.95
2012-03,70.47,-0.47,-0.66
2012-04,70.53,0.06,0.09
2012-05,70.42,-0.11,-0.16
2012-06,70.50,0.08,0.11
2012-07,68.78,-1.72,-2.43
2012-08,68.34,-0.44,-0.64
2012-09,68.03,-0.31,-0.45
2012-10,67.95,-0.08,-0.12
2012-11,68.06,0.12,0.17
2012-12,68.04,-0.02,-0.03
2013-01,68.36,0.32,0.47
2013-02,69.08,0.72,1.06
2013-03,69.42,0.34,0.50
2013-04,68.18,-1.25,-1.79
2013-05,68.18,0.00,0.00
2013-06,68.72,0.54,0.79
2013-07,69.21,0.49,0.72
2013-08,70.17,0.96,1.38
2013-09,70.77,0.60,0.85
2013-10,70.75,-0.02,-0.03
2013-11,70.94,0.20,0.28
2013-12,71.52,0.58,0.81
2014-01,71.40,-0.12,-0.17
2014-02,71.19,-0.21,-0.29
2014-03,70.91,-0.28,-0.40
2014-04,70.95,0.04,0.05
2014-05,70.88,-0.07,-0.10
2014-06,70.97,0.09,0.13
2014-07,71.29,0.32,0.45
2014-08,71.88,0.60,0.84
2014-09,72.08,0.19,0.27
2014-10,72.68,0.61,0.84
2014-11,72.80,0.11,0.15
2014-12,73.10,0.31,0.42
2015-01,72.94,-0.17,-0.23
2015-02,69.40,-3.54,-4.85
2015-03,68.94,-0.46,-0.66
2015-04,68.17,-0.77,-1.11
2015-05,66.32,-1.86,-2.72
2015-06,66.12,-0.19,-0.29
2015-07,64.89,-1.23,-1.87
2015-08,65.55,0.66,1.02
2015-09,65.23,-0.32,-0.49
2015-10,65.23,0.00,0.00
2015-11,63.34,-1.90,-2.91
2015-12,54.65,-8.69,-13.72
2016-01,27.03,-27.62,-50.54
2016-02,12.59,-14.44,-53.42
2016-03,7.68,-4.91,-38.99
2016-04,5.96,-1.72,-22.42
2016-05,5.87,-0.09,-1.48
2016-06,6.46,0.59,10.12
2016-07,7.17,0.70,10.89
2016-08,7.82,0.65,9.10
2016-09,9.46,1.64,20.98
2016-10,10.95,1.49,15.71
2016-11,12.37,1.42,12.98
2016-12,11.78,-0.59,-4.75
2017-01,12.01,0.22,1.90
2017-02,12.35,0.35,2.91
2017-03,12.37,0.02,0.13
2017-04,11.95,-0.42,-3.40
2017-05,10.70,-1.25,-10.45
2017-06,9.29,-1.41,-13.20
2017-07,8.98,-0.31,-3.28
2017-08,8.28,-0.70,-7.81
2017-09,7.96,-0.32,-3.88
2017-10,5.59,-2.37,-29.79
2017-11,5.11,-0.48,-8.61
2017-12,4.64,-0.47,-9.24
2018-01,4.55,-0.09,-1.96
2018-02,4.84,0.29,6.47
2018-03,5.48,0.64,13.23
2018-04,5.46,-0.02,-0.37
