±â°£,HSÄÚµå,Ç°¸ñ¸í,Åº»ê¸®Æ¬ ¼öÃâ Áß·®,¼öÃâ ±Ý¾×,Åº»ê¸®Æ¬ ¼öÀÔ Áß·®,¼öÀÔ ±Ý¾×,¹«¿ª¼öÁö
2021-06,2836910000,Åº»ê¸®Æ¬,123.5,1678,4972.3,49349,-47671
2021-07,2836910000,Åº»ê¸®Æ¬,749,7044,3598.9,35587,-28542
2021-08,2836910000,Åº»ê¸®Æ¬,344.1,3857,2775.5,24371,-20514
2021-09,2836910000,Åº»ê¸®Æ¬,218.9,2680,3025.3,27803,-25123
2021-10,2836910000,Åº»ê¸®Æ¬,390.2,4736,4566.9,41663,-36927
2021-11,2836910000,Åº»ê¸®Æ¬,204.7,2829,2317.2,23544,-20715
2021-12,2836910000,Åº»ê¸®Æ¬,458.9,7053,3671.4,39025,-31972
2022-01,2836910000,Åº»ê¸®Æ¬,310.8,8759,5756.3,67087,-58327
2022-02,2836910000,Åº»ê¸®Æ¬,242.4,8379,2910.5,31753,-23374
2022-03,2836910000,Åº»ê¸®Æ¬,590.2,37149,4793,189128,-151979
2022-04,2836910000,Åº»ê¸®Æ¬,701,49964,2657.2,79486,-29522
2022-05,2836910000,Åº»ê¸®Æ¬,825.3,58422,4770.9,163461,-105039
2022-06,2836910000,Åº»ê¸®Æ¬,664.7,43120,4297.2,129405,-86285
2022-07,2836910000,Åº»ê¸®Æ¬,490.3,31143,3420.8,117920,-86777
2022-08,2836910000,Åº»ê¸®Æ¬,912.8,59353,4750.7,224424,-165071
2022-09,2836910000,Åº»ê¸®Æ¬,432.6,29794,3942.7,191483,-161690
2022-10,2836910000,Åº»ê¸®Æ¬,226,16239,3620.1,169423,-153184
2022-11,2836910000,Åº»ê¸®Æ¬,271.8,19264,4325.9,188781,-169516
2022-12,2836910000,Åº»ê¸®Æ¬,495.1,35692,3286.5,188173,-152481
2023-01,2836910000,Åº»ê¸®Æ¬,513.8,38876,5181.9,245338,-206461
2023-02,2836910000,Åº»ê¸®Æ¬,419.8,30814,2707.6,189644,-158830
2023-03,2836910000,Åº»ê¸®Æ¬,711.1,52187,4490.2,312747,-260560
2023-04,2836910000,Åº»ê¸®Æ¬,405.4,28447,6907.3,420556,-392109
2023-05,2836910000,Åº»ê¸®Æ¬,306.6,16267,4561.4,234545,-218278
2023-06,2836910000,Åº»ê¸®Æ¬,638.9,29107,4838.6,210641,-181533
2023-07,2836910000,Åº»ê¸®Æ¬,1219,51923,3754.4,179984,-128062
2023-08,2836910000,Åº»ê¸®Æ¬,433.2,18855,5216.1,246777,-227922
2023-09,2836910000,Åº»ê¸®Æ¬,69.1,2921,4482.3,146069,-143149
2023-10,2836910000,Åº»ê¸®Æ¬,584.9,22369,2868.8,95319,-72950
2023-11,2836910000,Åº»ê¸®Æ¬,665.6,15181,2509.8,86687,-71506
2023-12,2836910000,Åº»ê¸®Æ¬,932.9,21063,3085.2,88560,-67497
2024-01,2836910000,Åº»ê¸®Æ¬,134.9,2204,2157.7,64876,-62672
2024-02,2836910000,Åº»ê¸®Æ¬,257.2,4222,2290.7,67325,-63103
2024-03,2836910000,Åº»ê¸®Æ¬,297.4,3992,1123.6,26250,-22258
2024-04,2836910000,Åº»ê¸®Æ¬,746.7,11673,2650.6,53550,-41877
2024-05,2836910000,Åº»ê¸®Æ¬,504.6,6658,2793.1,48560,-41902
